0.086,0.078539638,0.6,9.2,6.9,3,13.06339983,0.154,0
0.184,0.05972108,1.5,5.3,8.4,3,9.498299597,0.181,0
0.805,0.024626845,2.8,9.6,16.2,3,1.270200013,0.09929,1
0.142,0.015810129,0,5.9,11.6,3,2.639099904,0.35,0
0.05,0.014438134,0.7,8.6,15.8,4,3.241100083,0.144,0
0.528,0.013009964,2.3,6,5.2,2,1.121499955,0.022473,0
0.07,0.011024498,9.5,7.5,9.6,3,2.146299904,0.101,1
-0.197,0.010846026,1.1,11.7,16.2,3,0,0.273948,1
0.005,0.010684464,4.4,6.3,13.9,4,3.660000051,2.3,1
0.244,0.010588757,0.3,8.6,8.1,4,1.180999987,0.024,0
0.148,0.01001533,3.4,11.6,17.4,2,1.072139981,0.035,1
0.107,0.009832302,3.4,3.6,5.5,2,2.616400077,0.4906,0
1.068,0.009269645,2.8,9.7,12.9,3,3.19490007,0.079,1
0.683,0.008967582,18.6,10.3,8.7,3,3.851399987,0.042595,1
0.163,0.008621595,7.9,4.9,9.7,3,1.332099994,0.079,1
-0.06,0.008541177,1.6,11.2,14.4,3,0,0.208,1
0.041,0.008418658,1.1,9.9,16.8,3,2.862800077,0.05,0
0.093,0.007502183,4.9,4.5,6.6,3,1.458899968,0.309,1
0.496,0.00728153,0.8,9.6,11.5,3,2.156874957,0.067,0
0.159,0.007168264,7.3,5.7,11.2,3,0.990500045,0.288,1
0.193,0.007133206,1.5,6.5,5.6,3,1.281200026,0.13,0
0.158,0.00666333,8.8,6.7,6.9,3,1.568500019,0.02,1
0.042,0.006242644,0.5,5.7,7.7,2,1.839900058,0.132,0
0.121,0.006239081,1.4,5.2,5.2,2,1.049200026,0.078,0
0.14,0.006163412,4.6,8.1,12.1,2,3.533799834,0.189,1
0.106,0.00606631,4.2,6.3,14.3,3,1.178562458,0.1,1
0.101,0.006031601,3,8.4,13.6,3,1.383299994,0.113,1
0.021,0.005954342,3.9,5.7,8.9,3,4.510899814,0.1185,1
0.064,0.005837331,0,6.4,5.6,2,1.598999962,0.0795,0
0.343,0.005727071,0.1,6.9,7.9,2,1.056,0.152,0
0.218,0.005700823,0.3,4.8,4.6,2,1.00426496,0.71,0
0.144,0.00560479,1.9,4.6,5.9,1,0.666200013,0.025988,0
-0.061,0.005401383,1.9,15.5,15.4,5,0,0.246577,1
0.407,0.005303943,4.8,7.7,4.1,4,1.448399974,0.045,1
0.259,0.005301944,2.3,4.5,6.4,2,0.3064,0.073541,0
